hour,temp_f_mean,temp_f_max,temp_f_min,humidity_mean,humidity_max,humidity_min
0,62.556,66.7,57.6,92.044,99.0,79.0
1,62.687,66.2,57.2,92.034,97.0,86.0
2,62.527,66.0,57.2,92.615,97.0,88.0
3,62.372,65.8,57.4,92.875,97.0,88.0
4,62.19,65.8,57.6,93.183,98.0,88.0
5,62.0,66.0,57.6,93.377,99.0,87.0
6,61.856,66.4,57.7,93.722,99.0,87.0
7,62.451,67.1,58.5,93.009,99.0,85.0
8,63.685,70.2,59.9,90.656,99.0,79.0
9,64.906,71.1,60.1,88.678,99.0,78.0
10,66.632,74.8,61.5,85.556,99.0,73.0
11,68.033,75.2,61.9,82.783,99.0,72.0
12,69.08,75.6,62.8,80.385,95.0,72.0
13,69.688,77.4,63.1,78.965,93.0,68.0
14,70.417,78.6,64.0,77.281,90.0,64.0
15,70.341,82.0,64.0,77.472,89.0,59.0
16,69.559,81.9,63.7,78.271,90.0,55.0
17,67.077,76.6,63.0,82.411,92.0,64.0
18,65.424,73.2,60.8,85.424,93.0,69.0
19,63.757,68.0,59.9,88.762,95.0,82.0
20,62.915,66.0,59.7,90.55,96.0,83.0
21,62.68,66.2,59.7,91.489,97.0,84.0
22,62.294,66.0,59.2,91.972,97.0,86.0
23,61.939,65.8,58.8,92.444,98.0,86.0
