date,temp_f_mean,temp_f_max,temp_f_min,temp_f_std,humidity_mean,humidity_max,humidity_min,humidity_std
20250129,55.249,58.94,53.38,1.044,73.172,77.37,65.263,2.1
20250201,58.825,67.27,55.61,1.651,72.248,86.838,56.679,7.146
20250202,59.913,71.73,54.57,2.312,72.163,82.28,50.472,5.533
20250301,57.455,61.87,55.07,0.918,71.085,76.083,61.06,2.273
20250302,59.17,63.55,57.27,1.046,68.54,78.488,61.708,4.814
20250303,56.162,60.12,53.96,1.208,66.479,69.727,59.957,1.542
20250308,59.29,66.16,54.18,1.741,66.23,80.864,55.059,4.568
20250507,62.414,68.97,60.52,0.975,78.878,82.717,66.507,2.094
20250511,72.837,78.9,66.97,2.702,67.57,79.359,57.518,5.582
20250602,62.771,65.21,61.25,0.694,85.752,89.716,78.519,2.044
20250604,64.819,71.4,62.04,1.145,77.725,85.798,64.72,3.5
20250802,70.591,76.36,66.68,1.594,68.907,75.776,59.477,2.665
20250814,67.679,73.72,64.56,1.674,82.381,88.571,74.254,2.805
